suspect_id,name,age,gender,known_address,prior_cases,socio_economic_band,education_level,modus_operandi
SUS-00038,Kiran Shastri,20,Female,Dharwad Market,0,Low,Primary,Opportunistic - unarmed
SUS-00039,Suresh Naik,31,Male,Whitefield,3,Low,Secondary,Repeat pattern - same MO
SUS-00040,Kiran Shetty,28,Female,Koramangala,8,High,Illiterate,Repeat pattern - same MO
SUS-00041,Rekha Murthy,33,Male,Whitefield,0,Low,Illiterate,Organized - armed
SUS-00042,Anand Naik,37,Female,Lashkar Mohalla,0,Low,Secondary,Opportunistic - unarmed
SUS-00043,Manjunath Rao,40,Male,Panambur,0,Middle,Graduate,Opportunistic - unarmed
SUS-00044,Harish Reddy,55,Female,Kuvempunagar,0,Low,Secondary,Opportunistic - unarmed
SUS-00045,Rekha Acharya,50,Male,Devaraja Mohalla,2,Low,Graduate,Opportunistic - unarmed
SUS-00046,Basavaraj Murthy,60,Male,Surathkal,5,Low,Secondary,Organized - armed
SUS-00047,Prakash Swamy,37,Male,Surathkal,0,Low,Secondary,Organized - armed
SUS-00048,Sunita Murthy,29,Male,Hebbal Industrial Area,0,Low,Graduate,Opportunistic - unarmed
SUS-00049,Shivakumar Acharya,59,Male,Vidyanagar,0,Low,Primary,Organized - armed
SUS-00050,Santosh Murthy,23,Male,Hampankatta,5,Low,Postgraduate,Organized - armed
SUS-00051,Venkatesh Reddy,19,Male,Gokul Road,0,Middle,Graduate,Organized - armed
SUS-00052,Shivakumar Shetty,42,Male,Lashkar Mohalla,3,Low,Secondary,Repeat pattern - same MO
SUS-00053,Prakash Hegde,32,Male,Old Hubballi,3,Middle,Secondary,Repeat pattern - same MO
SUS-00054,Kiran Patil,60,Male,Dharwad Market,0,Middle,Postgraduate,Cyber-enabled
SUS-00055,Mahesh Hegde,53,Male,Koramangala,1,Middle,Secondary,Opportunistic - unarmed
SUS-00056,Harish Shastri,49,Male,Kuvempunagar,0,Low,Graduate,Opportunistic - unarmed
SUS-00057,Basavaraj Gowda,26,Male,Panambur,0,Middle,Graduate,Opportunistic - unarmed
SUS-00058,Basavaraj Patil,44,Male,Surathkal,1,Low,Graduate,Repeat pattern - same MO
SUS-00059,Shivakumar Hegde,48,Male,Kadri,0,Low,Secondary,Cyber-enabled
SUS-00060,Basavaraj Swamy,52,Male,Lashkar Mohalla,3,Middle,Primary,Organized - armed
SUS-00061,Sunita Swamy,28,Female,Malleshwaram,0,High,Secondary,Repeat pattern - same MO
SUS-00062,Ravi Gowda,59,Male,Vidyanagar,1,Low,Primary,Opportunistic - unarmed
SUS-00063,Deepa Hegde,35,Male,Surathkal,1,Low,Illiterate,Opportunistic - unarmed
SUS-00064,Lakshmi Shetty,59,Male,Indiranagar,1,Middle,Graduate,Opportunistic - unarmed
SUS-00065,Kiran Shetty,26,Male,Whitefield,0,Middle,Primary,Cyber-enabled
SUS-00066,Santosh Acharya,56,Female,Whitefield,2,Middle,Primary,Organized - armed
SUS-00067,Nagesh Acharya,42,Male,Devaraja Mohalla,1,Low,Secondary,Cyber-enabled
SUS-00068,Nagesh Murthy,56,Female,Indiranagar,0,Low,Secondary,Opportunistic - unarmed
SUS-00069,Deepa Kumar,44,Female,Whitefield,1,Low,Secondary,Cyber-enabled
SUS-00070,Kiran Hegde,29,Male,Kuvempunagar,1,Middle,Graduate,Cyber-enabled
SUS-00071,Shivakumar Rao,38,Female,Jayanagar 4th Block,1,Low,Secondary,Cyber-enabled
SUS-00072,Sunita Naik,19,Male,Hampankatta,1,Low,Primary,Cyber-enabled
SUS-00073,Raghavendra Swamy,35,Male,Old Hubballi,0,High,Illiterate,Cyber-enabled
SUS-00074,Lokesh Swamy,48,Male,Gokul Road,1,Low,Illiterate,Opportunistic - unarmed
SUS-00075,Lokesh Rao,60,Male,Gokul Road,1,Middle,Primary,Repeat pattern - same MO
SUS-00076,Lakshmi Swamy,47,Male,Kuvempunagar,1,Low,Graduate,Opportunistic - unarmed
SUS-00077,Santosh Shetty,31,Male,Kuvempunagar,2,Middle,Postgraduate,Organized - armed
SUS-00078,Prakash Shetty,36,Male,Koramangala,0,Low,Graduate,Opportunistic - unarmed
SUS-00079,Suresh Shastri,36,Male,Malleshwaram,0,Middle,Graduate,Opportunistic - unarmed
SUS-00080,Nagesh Patil,48,Male,Koramangala,0,High,Primary,Cyber-enabled
SUS-00081,Manjunath Hegde,49,Male,Indiranagar,0,Low,Graduate,Repeat pattern - same MO
SUS-00082,Lokesh Gowda,53,Male,Lashkar Mohalla,0,Middle,Secondary,Repeat pattern - same MO
SUS-00083,Shivakumar Hegde,37,Male,Indiranagar,0,Middle,Graduate,Repeat pattern - same MO
SUS-00084,Venkatesh Rao,60,Male,Lashkar Mohalla,0,Low,Illiterate,Opportunistic - unarmed
SUS-00085,Raghavendra Patil,36,Male,Hebbal Industrial Area,1,Middle,Graduate,Organized - armed
SUS-00086,Harish Murthy,55,Male,Devaraja Mohalla,2,Low,Secondary,Cyber-enabled
SUS-00087,Kiran Gowda,21,Male,Hebbal Industrial Area,5,Middle,Graduate,Repeat pattern - same MO
SUS-00088,Anand Swamy,37,Male,Kuvempunagar,1,Middle,Secondary,Opportunistic - unarmed
SUS-00089,Rekha Swamy,38,Male,MG Road,0,Low,Postgraduate,Cyber-enabled
SUS-00090,Ravi Murthy,35,Male,Koramangala,1,Middle,Secondary,Repeat pattern - same MO
SUS-00091,Shivakumar Hegde,58,Female,Jayanagar 4th Block,0,Middle,Secondary,Opportunistic - unarmed
SUS-00092,Santosh Naik,44,Male,Hebbal Industrial Area,0,Middle,Secondary,Cyber-enabled
SUS-00093,Manjunath Naik,34,Male,Panambur,0,High,Graduate,Opportunistic - unarmed
SUS-00094,Anand Hegde,21,Male,Kadri,3,Middle,Secondary,Organized - armed
SUS-00095,Harish Shastri,26,Female,Vidyanagar,0,High,Secondary,Opportunistic - unarmed
SUS-00096,Lokesh Swamy,28,Male,MG Road,1,Middle,Illiterate,Repeat pattern - same MO
SUS-00097,Anand Gowda,59,Female,Gokul Road,5,High,Primary,Repeat pattern - same MO
SUS-00098,Girish Patil,33,Male,Malleshwaram,1,Low,Graduate,Organized - armed
SUS-00099,Manjunath Rao,44,Male,Old Hubballi,3,Low,Illiterate,Cyber-enabled
SUS-00100,Shivakumar Murthy,49,Female,Vidyanagar,3,Middle,Primary,Cyber-enabled
SUS-00101,Anand Naik,30,Female,Lashkar Mohalla,1,Middle,Primary,Cyber-enabled
SUS-00102,Girish Swamy,42,Male,Malleshwaram,0,Middle,Illiterate,Organized - armed
SUS-00103,Prakash Patil,24,Male,Vidyanagar,1,Low,Primary,Cyber-enabled
SUS-00104,Manjunath Patil,34,Male,Panambur,5,Middle,Graduate,Repeat pattern - same MO
SUS-00105,Sunita Naik,58,Male,Gokul Road,3,High,Illiterate,Opportunistic - unarmed
SUS-00106,Nagesh Shetty,23,Male,Whitefield,1,Middle,Graduate,Opportunistic - unarmed
SUS-00107,Nagesh Kumar,20,Male,Indiranagar,0,Low,Secondary,Opportunistic - unarmed
SUS-00108,Shivakumar Murthy,29,Male,Jayanagar 4th Block,1,Middle,Secondary,Cyber-enabled
SUS-00109,Shivakumar Reddy,32,Male,Kuvempunagar,1,Middle,Secondary,Cyber-enabled
SUS-00110,Nagesh Murthy,52,Male,Vidyanagar,1,High,Postgraduate,Opportunistic - unarmed
SUS-00111,Harish Patil,37,Male,Panambur,5,High,Primary,Organized - armed
SUS-00112,Nagesh Swamy,36,Male,Panambur,0,Low,Secondary,Cyber-enabled
SUS-00113,Suresh Acharya,49,Female,Hebbal Industrial Area,2,Middle,Primary,Repeat pattern - same MO
SUS-00114,Venkatesh Acharya,34,Male,Malleshwaram,0,Middle,Graduate,Cyber-enabled
SUS-00115,Anand Kumar,55,Male,Malleshwaram,0,Low,Primary,Cyber-enabled
SUS-00116,Kiran Shastri,41,Male,Kuvempunagar,0,Middle,Primary,Cyber-enabled
SUS-00117,Nagesh Swamy,39,Female,Vidyanagar,1,High,Primary,Repeat pattern - same MO
SUS-00118,Sunita Shastri,41,Male,Panambur,3,Low,Secondary,Organized - armed
SUS-00119,Harish Acharya,42,Female,Kadri,2,Low,Primary,Opportunistic - unarmed
SUS-00120,Basavaraj Naik,57,Male,Jayanagar 4th Block,3,Middle,Secondary,Cyber-enabled
