transaction_id,from_account_id,to_account_id,amount,txn_date,fir_id,flagged_suspicious,flag_reason
TXN-000114,ACC-00061,ACC-00071,200000.0,2025-12-09,,1,"High-value transfer above Rs. 2,00,000"
TXN-000115,ACC-00061,ACC-00066,450000.0,2025-04-11,,1,"High-value transfer above Rs. 2,00,000"
TXN-000116,ACC-00061,ACC-00051,200000.0,2026-03-05,,1,"High-value transfer above Rs. 2,00,000"
TXN-000117,ACC-00061,ACC-00029,200000.0,2025-01-30,,1,"High-value transfer above Rs. 2,00,000"
TXN-000118,ACC-00061,ACC-00055,15000.0,2026-05-31,,0,
TXN-000119,ACC-00067,ACC-00011,2000.0,2025-01-24,,0,
TXN-000120,ACC-00067,ACC-00053,200000.0,2025-07-17,,1,"High-value transfer above Rs. 2,00,000"
TXN-000121,ACC-00067,ACC-00003,5000.0,2025-09-03,,0,
TXN-000122,ACC-00067,ACC-00042,5000.0,2025-07-24,,0,
TXN-000123,ACC-00067,ACC-00032,90000.0,2025-03-08,,0,
TXN-000124,ACC-00067,ACC-00022,500.0,2026-04-18,,0,
TXN-000125,ACC-00067,ACC-00061,450000.0,2026-03-31,,1,"High-value transfer above Rs. 2,00,000"
TXN-000126,ACC-00067,ACC-00044,15000.0,2026-04-18,,0,
TXN-000127,ACC-00030,ACC-00066,500.0,2026-02-21,,0,
TXN-000128,ACC-00030,ACC-00015,450000.0,2025-03-14,,1,"High-value transfer above Rs. 2,00,000"
TXN-000129,ACC-00030,ACC-00044,200000.0,2025-05-04,,1,"High-value transfer above Rs. 2,00,000"
TXN-000130,ACC-00030,ACC-00021,500.0,2025-03-03,,0,
TXN-000131,ACC-00030,ACC-00033,40000.0,2025-02-10,,0,
TXN-000132,ACC-00030,ACC-00061,90000.0,2026-06-08,,0,
TXN-000133,ACC-00030,ACC-00009,450000.0,2025-05-08,,1,"High-value transfer above Rs. 2,00,000"
TXN-000134,ACC-00030,ACC-00001,2000.0,2025-09-26,,0,
TXN-000135,ACC-00022,ACC-00049,90000.0,2025-12-14,,0,
TXN-000136,ACC-00019,ACC-00023,15000.0,2025-12-04,,0,
TXN-000137,ACC-00018,ACC-00001,450000.0,2025-09-24,,1,"High-value transfer above Rs. 2,00,000"
TXN-000138,ACC-00057,ACC-00017,90000.0,2025-09-22,,0,
TXN-000139,ACC-00036,ACC-00048,5000.0,2025-10-23,,0,
TXN-000140,ACC-00062,ACC-00071,90000.0,2025-11-11,,0,
TXN-000141,ACC-00038,ACC-00046,450000.0,2025-10-29,,1,"High-value transfer above Rs. 2,00,000"
TXN-000142,ACC-00019,ACC-00023,40000.0,2025-09-21,,0,
TXN-000143,ACC-00018,ACC-00001,15000.0,2025-06-01,,0,
TXN-000144,ACC-00048,ACC-00036,90000.0,2026-06-14,,0,
TXN-000145,ACC-00005,ACC-00025,90000.0,2026-05-29,,0,
TXN-000146,ACC-00057,ACC-00017,450000.0,2026-06-22,,1,"High-value transfer above Rs. 2,00,000"
TXN-000147,ACC-00032,ACC-00031,200000.0,2025-12-17,FIR-2025-00029,1,Linked to an open Cybercrime/Fraud FIR
TXN-000148,ACC-00002,ACC-00050,15000.0,2025-05-03,,0,
TXN-000149,ACC-00018,ACC-00001,450000.0,2025-01-13,,1,"High-value transfer above Rs. 2,00,000"
TXN-000150,ACC-00034,ACC-00068,90000.0,2026-02-13,,0,
TXN-000151,ACC-00018,ACC-00001,2000.0,2025-03-23,,0,
TXN-000152,ACC-00020,ACC-00055,15000.0,2025-07-07,,0,
TXN-000153,ACC-00021,ACC-00038,15000.0,2026-04-13,,0,
TXN-000154,ACC-00009,ACC-00012,40000.0,2025-07-14,,0,
TXN-000155,ACC-00003,ACC-00056,40000.0,2025-09-07,FIR-2025-00118,1,Linked to an open Cybercrime/Fraud FIR
TXN-000156,ACC-00033,ACC-00036,450000.0,2025-02-22,,1,"High-value transfer above Rs. 2,00,000"
TXN-000157,ACC-00017,ACC-00057,450000.0,2025-03-27,,1,"High-value transfer above Rs. 2,00,000"
TXN-000158,ACC-00032,ACC-00031,15000.0,2025-11-04,,0,
TXN-000159,ACC-00048,ACC-00036,2000.0,2026-03-30,,0,
TXN-000160,ACC-00022,ACC-00049,500.0,2026-02-21,,0,
TXN-000161,ACC-00014,ACC-00058,5000.0,2026-05-10,,0,
TXN-000162,ACC-00016,ACC-00045,40000.0,2025-09-12,,0,
TXN-000163,ACC-00057,ACC-00017,450000.0,2025-07-06,,1,"High-value transfer above Rs. 2,00,000"
TXN-000164,ACC-00032,ACC-00031,450000.0,2025-07-03,,1,"High-value transfer above Rs. 2,00,000"
TXN-000165,ACC-00066,ACC-00042,2000.0,2026-03-30,,0,
TXN-000166,ACC-00017,ACC-00057,2000.0,2025-08-07,,0,
TXN-000167,ACC-00024,ACC-00004,90000.0,2026-04-29,,0,
TXN-000168,ACC-00029,ACC-00063,5000.0,2025-07-16,,0,
TXN-000169,ACC-00049,ACC-00022,5000.0,2025-06-10,,0,
TXN-000170,ACC-00057,ACC-00017,40000.0,2025-09-27,,0,
TXN-000171,ACC-00031,ACC-00032,5000.0,2025-12-29,,0,
TXN-000172,ACC-00068,ACC-00034,40000.0,2026-02-07,,0,
TXN-000173,ACC-00049,ACC-00022,200000.0,2025-12-29,FIR-2025-00201,1,Linked to an open Cybercrime/Fraud FIR
TXN-000174,ACC-00018,ACC-00001,40000.0,2025-07-27,FIR-2026-00366,1,Linked to an open Cybercrime/Fraud FIR
TXN-000175,ACC-00044,ACC-00026,40000.0,2025-01-25,,0,
TXN-000176,ACC-00057,ACC-00017,90000.0,2025-07-24,,0,
TXN-000177,ACC-00020,ACC-00055,40000.0,2025-09-06,,0,
TXN-000178,ACC-00012,ACC-00060,450000.0,2025-02-17,,1,"High-value transfer above Rs. 2,00,000"
TXN-000179,ACC-00049,ACC-00022,15000.0,2026-01-20,,0,
TXN-000180,ACC-00013,ACC-00064,90000.0,2026-01-14,,0,
TXN-000181,ACC-00069,ACC-00065,450000.0,2025-03-17,,1,"High-value transfer above Rs. 2,00,000"
TXN-000182,ACC-00057,ACC-00017,5000.0,2025-07-24,,0,
TXN-000183,ACC-00043,ACC-00059,15000.0,2025-09-24,,0,
TXN-000184,ACC-00059,ACC-00043,5000.0,2025-03-11,,0,
TXN-000185,ACC-00055,ACC-00020,450000.0,2025-08-08,,1,"High-value transfer above Rs. 2,00,000"
TXN-000186,ACC-00012,ACC-00060,15000.0,2025-12-08,,0,
TXN-000187,ACC-00044,ACC-00026,40000.0,2025-01-24,,0,
TXN-000188,ACC-00019,ACC-00023,200000.0,2026-05-14,,1,"High-value transfer above Rs. 2,00,000"
TXN-000189,ACC-00020,ACC-00055,90000.0,2025-02-02,FIR-2025-00221,1,Linked to an open Cybercrime/Fraud FIR
TXN-000190,ACC-00016,ACC-00045,40000.0,2025-03-10,,0,
TXN-000191,ACC-00003,ACC-00056,2000.0,2026-06-10,,0,
TXN-000192,ACC-00066,ACC-00042,2000.0,2026-03-18,,0,
TXN-000193,ACC-00068,ACC-00034,450000.0,2025-06-05,,1,"High-value transfer above Rs. 2,00,000"
TXN-000194,ACC-00001,ACC-00018,5000.0,2025-12-14,,0,
TXN-000195,ACC-00069,ACC-00065,200000.0,2025-01-07,,1,"High-value transfer above Rs. 2,00,000"
TXN-000196,ACC-00014,ACC-00037,500.0,2026-03-14,,0,
TXN-000197,ACC-00023,ACC-00019,90000.0,2025-07-25,,0,
TXN-000198,ACC-00049,ACC-00022,15000.0,2025-07-31,,0,
TXN-000199,ACC-00035,ACC-00024,500.0,2025-02-10,,0,
TXN-000200,ACC-00022,ACC-00049,2000.0,2025-11-19,,0,
TXN-000201,ACC-00050,ACC-00002,40000.0,2025-10-05,,0,
TXN-000202,ACC-00050,ACC-00002,500.0,2026-03-27,,0,
TXN-000203,ACC-00029,ACC-00063,450000.0,2025-08-02,,1,"High-value transfer above Rs. 2,00,000"
TXN-000204,ACC-00025,ACC-00005,450000.0,2025-07-30,,1,"High-value transfer above Rs. 2,00,000"
TXN-000205,ACC-00049,ACC-00022,2000.0,2026-06-03,,0,
TXN-000206,ACC-00033,ACC-00048,5000.0,2025-05-04,,0,
TXN-000207,ACC-00031,ACC-00032,200000.0,2025-04-03,,1,"High-value transfer above Rs. 2,00,000"
TXN-000208,ACC-00055,ACC-00020,40000.0,2026-04-13,,0,
TXN-000209,ACC-00062,ACC-00071,200000.0,2025-04-13,,1,"High-value transfer above Rs. 2,00,000"
TXN-000210,ACC-00051,ACC-00039,2000.0,2025-11-04,,0,
TXN-000211,ACC-00050,ACC-00002,450000.0,2025-11-28,FIR-2025-00142,1,Linked to an open Cybercrime/Fraud FIR
TXN-000212,ACC-00013,ACC-00064,5000.0,2025-05-12,,0,
TXN-000213,ACC-00045,ACC-00016,450000.0,2025-03-04,,1,"High-value transfer above Rs. 2,00,000"
TXN-000214,ACC-00037,ACC-00014,90000.0,2025-06-11,,0,
TXN-000215,ACC-00007,ACC-00006,5000.0,2025-07-05,,0,
TXN-000216,ACC-00054,ACC-00039,500.0,2025-11-10,,0,
TXN-000217,ACC-00028,ACC-00005,40000.0,2025-01-30,,0,
TXN-000218,ACC-00020,ACC-00055,500.0,2025-02-05,,0,
TXN-000219,ACC-00003,ACC-00010,500.0,2026-06-22,,0,
TXN-000220,ACC-00009,ACC-00060,500.0,2025-08-17,,0,
TXN-000221,ACC-00066,ACC-00042,2000.0,2026-04-21,,0,
TXN-000222,ACC-00006,ACC-00007,500.0,2026-04-26,,0,
TXN-000223,ACC-00041,ACC-00015,90000.0,2025-04-09,,0,
TXN-000224,ACC-00031,ACC-00032,5000.0,2025-05-13,,0,
TXN-000225,ACC-00020,ACC-00055,2000.0,2026-02-18,,0,
TXN-000226,ACC-00024,ACC-00035,15000.0,2025-07-09,,0,
TXN-000227,ACC-00056,ACC-00010,90000.0,2026-04-19,,0,
TXN-000228,ACC-00040,ACC-00027,90000.0,2025-05-29,,0,
TXN-000229,ACC-00033,ACC-00048,200000.0,2025-07-22,,1,"High-value transfer above Rs. 2,00,000"
TXN-000230,ACC-00009,ACC-00060,500.0,2025-09-01,,0,
TXN-000231,ACC-00012,ACC-00060,500.0,2026-05-11,,0,
TXN-000232,ACC-00054,ACC-00051,450000.0,2026-04-10,,1,"High-value transfer above Rs. 2,00,000"
TXN-000233,ACC-00014,ACC-00058,2000.0,2026-06-11,,0,
TXN-000234,ACC-00057,ACC-00017,40000.0,2026-05-15,,0,
TXN-000235,ACC-00049,ACC-00022,90000.0,2025-09-27,,0,
TXN-000236,ACC-00066,ACC-00042,500.0,2025-05-10,,0,
TXN-000237,ACC-00063,ACC-00029,2000.0,2025-10-30,,0,
TXN-000238,ACC-00023,ACC-00019,450000.0,2025-03-26,,1,"High-value transfer above Rs. 2,00,000"
TXN-000239,ACC-00045,ACC-00016,15000.0,2025-08-16,,0,
TXN-000240,ACC-00022,ACC-00049,90000.0,2025-06-05,,0,
